User Input,Chatbot Response,Timestamp
hello,Hi there,2024-09-10 01:21:51
how are you ,My purpose is to assist you,2024-09-10 01:21:57
weather ,"I'm sorry, I cannot provide real-time weather information.",2024-09-10 01:22:20
How do I create a budget,"To make a budget, start by tracking your income and expenses. Then, allocate your income towards essential expenses like rent, food, and bills. Next, allocate some of your income towards savings and debt repayment. Finally, allocate the remainder of your income towards discretionary expenses like entertainment and hobbies.",2024-09-10 01:22:30
Today is a nice weather,"I'm sorry, I cannot provide real-time weather information.",2024-10-03 08:29:52
How's the weather today,"I'm sorry, I cannot provide real-time weather information.",2024-10-03 08:30:47
Hi,Hello,2024-10-03 08:30:56
hi,Hi there,2024-12-09 18:21:19
hello,Hey,2024-12-09 18:34:54
what do you sell,I can answer questions and provide assistance,2024-12-09 18:35:23
hello,Hello,2024-12-09 18:37:43
what do you sell,My purpose is to assist you,2024-12-09 18:37:57
what are the services,My purpose is to assist you,2024-12-09 18:39:09
what service do you offer?,I can answer questions and provide assistance,2024-12-09 18:39:58
hi,Nothing much,2024-12-09 18:43:19
hello,Hello,2024-12-09 18:43:32
How to stay healthy,"To stay healthy, maintain a balanced diet, engage in regular physical activity, get enough sleep, manage stress, and avoid harmful habits.",2024-12-09 18:51:35
Do you offer car insurance?,"Yes, we offer comprehensive car insurance options.",2024-12-09 19:11:32
what cars do you sell,We provide car upgrades to enhance both style and performance.,2024-12-09 19:11:48
what service do you offer?,"Our services include diagnostics, routine maintenance, and vehicle upgrades.",2024-12-09 19:28:31
Do you offer car insurance?,"Yes, we partner with top providers to ensure your car is covered.",2024-12-09 19:29:01
what service do you offer?,"At Rolls-Royce, we offer bespoke customization, maintenance, and exclusive services for your luxury car.",2024-12-09 19:34:11
hello,"Hello, welcome to Rolls-Royce! How can we assist you today?",2024-12-09 19:34:26
hello,Hey! Looking to explore the elegance of Rolls-Royce?,2024-12-10 23:55:55
what do you sell,"Our upgrades include custom interiors, exquisite exterior trims, and cutting-edge technology.",2024-12-10 23:56:11
what cars do you sell,Explore Rolls-Royceâ€™s luxurious accessory collection designed for unmatched elegance.,2024-12-10 23:56:49
what service do you offer?,"Our services include vehicle personalization, regular maintenance, and world-class care for your Rolls-Royce.",2024-12-10 23:57:16
